CID,MW,MF,TPSA,XL,HAC,HBDC,HBAC,RBC,SMILES,Charge,CBUC
4179586,338.4,C19H22N4O2,51.9,2.8,25,0,5,3,CC1=NC2=C(C(=NN2C(=C1)N3CCOCC3)C)C4=CC=CC=C4OC,0,1
2164205,249.26,C13H15NO4,75.6,1.2,18,2,4,6,COC1=CC=C(C=C1)CCNC(=O)C=CC(=O)O,0,1
3496741,341.5,C19H23N3OS,74.1,3.8,24,1,5,6,CC1=CC=C(C=C1)CS(=O)C2=NC3=C(CCCC3)C(=N2)NCC=C,0,1
2102404,307.4,C13H13N3O2S2,118,3.1,20,1,6,7,C=CCSC1=NN=C(S1)NC(=O)COC2=CC=CC=C2,0,1
2898312,334.3,C15H14N2O5S,101,2.5,23,0,6,3,COC1=C(C=C(C=C1)S(=O)(=O)N2CCC3=CC=CC=C32)[N+](=O)[O-],0,1
16193476,292.76,C14H17ClN4O,59,2.2,20,2,2,3,CC1=C(C(=NN1C)C)CNC(=O)NC2=CC=C(C=C2)Cl,0,1
16331625,357.4,C19H19NO6,94.1,2.5,26,2,6,6,COC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C2=CC3=C(C=C2)OCCO3,0,1
3769558,263.68,C12H10ClN3O2,64.099,1.4,18,1,4,4,C1=CC(=CC(=C1)OC2=NC=CN=C2)NC(=O)CCl,0,1
888854,322.4,C14H11FN2O2S2,95.7,3.4,21,1,6,3,CC1=NC2=C(S1)C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3F,0,1
9659681,293.32,C17H15N3O2,67.5,3.1,22,1,4,3,CC1=NC2=CC=CC=C2C(=C1)C(=O)NN=C(C)C3=CC=CO3,0,1
2725930,311.3,C18H17NO4,56.8,2.8,23,1,4,4,COC1=CC=C(C=C1)NC(=O)C2=CC3=C(C(=CC=C3)OC)OC2,0,1
1152793,285.4,C12H19N3OS2,99.6,2.9,18,0,5,4,CC1=NN=C(S1)SCC(=O)N(C)C2CCCCC2,0,1
2989842,305.4,C19H19N3O,48.6,3.3,23,0,4,4,CC1=NN(C(C1)C2=CC=CC=C2)C(C#N)C3=CC=CC=C3OC,0,1
2960790,312.4,C19H24N2O2,72.2,3.7,23,2,2,4,C1C2CC3CC1CC(C2)(C3)CC(=O)NC4=CC=CC=C4C(=O)N,0,1
625232,285.72,C16H12ClNO2,39.2,4.3,20,0,3,3,CCOC(=O)C1=CN=C2C(=C1Cl)C=CC3=CC=CC=C32,0,1
3228649,294.35,C16H18N6,68.5,2.8,22,1,5,5,CC1=NC(=C2C(=N1)N(N=N2)CC3=CC=CC=C3)NCC4CC4,0,1
3712001,344.4,C18H20N2O5,85.9,2.2,25,2,5,8,COC1=CC=C(C=C1)C(=O)NCCONC(=O)C2=CC=C(C=C2)OC,0,1
