,CID,SID,Solubility_at_pH_7_4,target,Efficacy
0,1472633,24822282,7.6,0,
1,23724196,47200734,55.6,0,55.1249
2,24794229,49737531,40.9,0,
3,9660666,26666056,51.4,0,
4,4571723,24826396,51.7,0,
5,3160344,49725276,7.8,0,
6,2726931,26730755,38.8,0,
7,2978511,49717843,50.5,0,
8,78431,49671454,20.0,0,
9,3469498,49673254,38.9,0,
10,135436483,56320734,21.5,0,
11,16190580,24798909,54.0,0,
12,1638458,47197701,28.3,0,
13,735815,26730949,0.3,0,
14,24686379,56319343,2.4,0,
15,773303,49644021,40.9,0,
16,3654733,26660330,8.2,0,
17,16191201,24799530,31.3,0,73.1574
18,2731123,49672116,45.2,0,
19,24817004,49817862,58.7,0,104.776
20,9632149,26661197,3.1,0,
21,6132412,49823698,0.3,0,
22,801532,49644786,4.1,0,
23,2732618,26730246,45.7,0,
24,7840277,49819570,47.9,0,83.9347
25,135486272,26670980,2.0,0,
26,135403126,24801833,1.4,0,
27,5214289,49673372,40.8,0,
28,4246039,24814261,0.8,0,
29,9592939,49644239,1.6,0,
30,3328957,24814036,38.9,0,
31,2808894,26728515,37.8,0,
32,3451338,49680239,7.5,0,
33,1587720,24786996,52.3,0,
34,764370,47203239,9.4,0,
35,2815448,26729732,3.8,0,
36,3714256,57261631,2.4,0,
37,1085728,47203594,2.0,0,
38,898682,24791934,52.4,0,69.8956
39,2813904,50085551,38.4,0,
40,5113059,49734189,47.6,0,
41,3145554,49727404,44.5,0,
42,135420730,26671569,52.8,0,
43,1828093,26660941,32.8,0,
44,2732022,26730077,48.7,0,
45,3811336,49646930,1.5,0,
46,798911,47203760,4.7,0,
47,756807,26662186,36.1,0,
48,712076,24819938,51.1,0,
49,16196749,24835626,38.5,0,
50,2346889,24827884,4.4,0,
51,2887605,49733277,36.9,0,
52,4292992,26728072,2.8,0,
53,7132112,57269077,50.3,0,
54,936,8139965,2.8,0,
55,3554226,49666011,11.4,0,
56,16264978,49828009,31.9,0,
57,794782,24805477,40.7,0,
58,2726218,26727313,7.2,0,
59,3812374,49648886,0.2,0,30.5231
60,616931,24808667,37.2,0,
61,6472743,49726634,9.2,0,
62,2151543,24823716,47.6,0,64.8254
63,16190651,24798980,45.6,0,
64,7151315,49677728,46.4,0,
65,6470799,47200046,42.1,0,
66,1906778,26659428,38.1,0,
67,4982645,49676581,24.2,0,
68,3107404,49644358,40.4,0,122.654
69,2214598,24794054,22.3,0,
70,2727253,49680051,34.1,0,
71,1429571,49642666,25.0,0,
72,747323,49670922,0.2,0,
73,135450494,26671043,17.6,0,
74,259478,24835658,40.9,0,51.8943
75,2384573,24836955,46.3,0,
76,207753,49643139,19.1,0,
77,3151022,24804426,32.1,0,
78,2964849,24792667,36.5,0,
79,9623150,49676469,39.0,0,
80,1246494,24784783,0.6,0,
81,2799449,26728536,0.2,0,
82,4884496,24837776,41.9,0,
83,6367981,49829207,41.3,0,
84,4868360,49680236,17.7,0,103.061
85,9557417,26664189,0.5,0,
86,1145374,47202085,50.9,0,
87,2408610,49672296,12.4,0,
88,3850364,26662797,8.9,0,124.421
89,3892919,24836675,48.0,0,
90,1089285,24781715,33.8,0,
91,843001,47204403,40.5,0,
92,834526,47194655,40.7,0,84.1553
93,4534458,24811069,34.8,0,
94,2235529,24792588,50.2,0,
95,6883122,49646963,1.1,0,
96,16238906,49673878,45.0,0,
97,20868329,49670120,34.8,0,
98,736092,49680208,1.4,0,
99,25237402,49824407,23.1,0,
100,3831815,49648296,0.1,0,
101,6262389,49825838,0.6,0,
102,135458771,47198215,36.8,0,
103,930136,26663861,17.3,0,
104,2940243,26666134,8.5,0,
105,2882465,47200917,42.5,0,
106,971730,24796261,2.2,0,
107,4548052,49649347,50.6,0,
108,2956975,24792673,34.1,0,116.682
109,1296959,24793740,1.0,0,66.6463
110,7205906,24788593,40.8,0,
111,2891717,26662677,4.5,0,42.8075
112,3226016,24787440,49.4,0,
113,3794164,24820619,0.3,0,96.7756
114,1429148,49642952,2.2,0,
115,16241437,49672575,46.2,0,
116,2909389,49643130,48.6,0,
117,5412707,26661816,22.2,0,
118,717108,24808494,35.6,0,
119,712607,49669530,2.4,0,
120,7121685,24816629,5.3,0,
121,797782,24792917,38.7,0,
122,9684272,24826301,13.1,0,
123,5138410,24836128,56.0,0,72.1479
124,4669245,49666622,22.0,0,
125,2095788,49674384,0.6,0,
126,2409531,26657693,1.2,0,
127,7080337,24822777,1.0,0,
128,3730213,49646680,31.8,0,94.7857
129,5284441,855636,45.8,0,121.177
130,2103199,24837205,0.7,0,
131,759219,49643767,5.4,0,
132,765070,49824704,48.5,0,
133,3111219,49669055,39.6,0,
134,5904691,26663461,1.0,0,
135,229746,26727952,34.1,0,
136,2767613,49666609,49.7,0,
137,22514403,49730455,43.3,0,
138,4325210,49646530,33.9,0,95.2556
139,4884537,49677536,45.1,0,
140,24983060,56324682,41.6,0,
141,20968038,49669580,6.1,0,95.6762
142,831396,49642917,48.2,0,
143,16002475,49715760,14.0,0,
144,3759260,24834386,49.2,0,
145,24747129,49645271,43.5,0,
146,2842883,49725026,36.5,0,
147,135547774,26729875,0.3,0,
148,4417298,24831897,46.9,0,
149,1254065,24794168,2.0,0,
150,4877802,49674870,11.6,0,72.7703
151,2806275,49671436,11.4,0,
152,881040,24818087,0.2,0,
153,2819882,26726777,36.8,0,
154,6402832,49730153,44.3,0,85.6729
155,3157244,24786778,49.0,0,
156,8072742,49647008,0.2,0,224.123
157,2467092,24835163,42.8,0,
158,6898766,24838071,34.0,0,
159,2970650,24794831,41.7,0,
160,135760333,51086198,44.6,0,51.3018
161,732530,49644420,3.5,0,
162,5769417,49665343,45.5,0,
163,6898634,24828700,1.7,0,
164,9594651,24807896,46.6,0,
165,3230502,24790172,3.1,0,41.7672
166,18075955,56316325,44.9,0,
167,2500369,24839554,0.6,0,
168,5332075,26659187,56.6,0,68.9507
169,2028565,49646353,49.0,0,
170,6472813,49642037,11.4,0,
171,2975738,49723882,43.1,0,98.8355
172,823638,24806341,6.1,0,
173,1094124,49642378,36.4,0,
174,18154449,56315414,42.9,0,
175,7481503,49677647,2.2,0,
176,2819259,26728801,9.4,0,
177,5702914,26726834,35.0,0,
178,16192654,24804180,35.7,0,54.3613
179,2988744,49826834,48.4,0,
180,2547225,57259329,50.5,0,
181,2532163,26657841,4.4,0,
182,1091332,49730077,48.8,0,
183,891102,47202337,7.4,0,
184,749185,49727000,47.8,0,
185,3751552,49666405,2.2,0,
186,9624827,24821391,13.6,0,44.6999
187,17297684,49828765,13.7,0,
188,2741902,49671674,24.1,0,
189,1736518,49643407,16.8,0,
190,135506669,24832945,3.6,0,
191,6915337,49676069,47.0,0,
192,135650675,26671033,2.0,0,
193,3712359,24820095,30.9,0,
194,6883559,26671027,15.1,0,
195,842891,26662258,41.3,0,
196,5946621,57256010,2.6,0,
197,54703728,26670772,3.5,0,
198,1072029,24804548,4.9,0,
199,17371949,49823701,1.9,0,
200,2901537,47198439,50.9,0,
201,700756,49668345,1.0,0,
202,2727126,49672089,13.6,0,
203,828541,24786641,1.6,0,
204,787582,47201388,36.1,0,88.7784
205,2723716,57260770,25.4,0,
206,22553951,49670600,50.5,0,
207,5059018,49679570,0.6,0,
208,5201776,24785368,51.3,0,58.5724
209,2107270,24832896,47.2,0,109.896
210,2105295,57266115,4.7,0,88.8932
211,3775939,49665784,7.5,0,
212,3094799,24807719,42.0,0,
213,2474608,24825819,30.6,0,
214,2731145,26727646,30.9,0,
215,20855077,49668980,1.8,0,
216,717499,24805869,38.6,0,82.1473
217,2978966,49736710,38.0,0,
218,2089599,57261103,3.5,0,
219,5295549,24786747,34.8,0,
220,1878799,26659415,56.0,0,
221,54687089,49730053,7.4,0,
222,23724188,47200622,49.3,0,
223,5391088,49641370,50.9,0,
224,2738289,26730428,39.1,0,
225,3150978,49733417,46.2,0,
226,9560704,26663809,53.1,0,
227,16210795,49825643,0.5,0,20.5
228,9583904,26729238,37.0,0,
229,9638384,26725851,11.8,0,137.944
230,9633163,26660241,8.0,0,
231,24819493,49826945,27.7,0,
232,248680,49671231,30.6,0,
233,1588119,47195785,0.8,0,
234,24816764,49817192,52.1,0,
235,5424153,26660422,43.1,0,
236,9583278,26731650,0.1,0,
237,5334945,24809019,0.3,0,
238,789669,26666777,39.1,0,
239,2346398,24827408,31.4,0,
240,9360204,49724866,47.3,0,
241,135409077,26658414,27.8,0,
242,6464929,49821672,23.4,0,
243,16348411,49672970,47.5,0,
244,54680650,24816219,35.0,0,
245,1094930,47203339,45.2,0,
246,6922771,49649183,32.6,0,
247,2747452,26730513,45.9,0,
248,2083057,24831388,3.8,0,
249,1905895,26662973,1.0,0,
250,4907461,49647789,44.9,0,
251,2742980,26659075,42.2,0,
252,1503146,24810921,35.4,0,
253,7109257,24815984,40.3,0,
254,3766201,49666500,48.7,0,
255,2067672,49730006,0.4,0,
256,6485854,49642467,9.0,0,
257,2544310,24835681,38.2,0,
258,16326233,49675381,51.7,0,
259,24980907,56319722,7.2,0,
260,2441116,24832644,49.1,0,
261,8284606,56319812,1.3,0,
262,2270925,49665243,3.6,0,
263,855124,49728768,42.3,0,
264,895511,47200415,5.5,0,
265,1070058,26660347,45.9,0,
266,910746,26725749,27.5,0,
267,3224231,24796713,41.1,0,
268,15998742,49715757,0.8,0,
269,9563288,49641104,0.7,0,
270,725924,49666415,1.0,0,
271,5793938,49671901,37.7,0,
272,2727145,26727829,40.8,0,
273,9598505,24785017,0.4,0,
274,2178782,24780686,51.1,0,
275,7117022,24816268,22.6,0,
276,2815599,50085570,54.7,0,
277,9405815,49675393,42.8,0,44.7884
278,4024529,24811464,50.6,0,
279,780277,47198553,6.7,0,
280,9650462,24825601,6.8,0,
281,1569005,47196959,0.6,0,
282,2848220,49668603,39.6,0,
283,3740831,49817137,47.3,0,45.3624
284,757316,24808291,46.4,0,
285,2567184,26657650,0.8,0,
286,4681731,26669378,41.3,0,
287,6063143,26662286,9.8,0,44.4164
288,135460562,24787119,2.5,0,
289,2198108,49826440,38.2,0,
290,4324124,24830168,28.3,0,
291,2816255,49671961,16.0,0,
292,945667,26670786,28.6,0,
293,2908424,24785976,40.8,0,
294,2304940,24836061,3.7,0,88.5284
295,578415,49679630,14.2,0,
296,2947549,47196249,34.9,0,
297,4919914,49647697,27.0,0,
298,2322891,49675299,6.8,0,79.5697
299,1951470,26725788,0.2,0,
300,135454401,49679464,6.5,0,
301,6107078,24810141,0.2,0,
302,9615784,26662073,49.7,0,
303,24818607,49823887,45.3,0,
304,2960274,24796028,5.0,0,
305,5219821,26671573,39.3,0,81.1375
306,2527715,24837632,4.1,0,
307,834173,49679798,27.5,0,
308,6490168,47203282,12.4,0,107.309
309,2989507,47203897,29.2,0,
310,3224221,49724976,1.2,0,
311,5333719,49723902,2.6,0,62.2784
312,20865305,49668738,0.4,0,
313,804939,24796399,27.3,0,
314,4882528,24832235,41.5,0,
315,2745432,26729035,0.2,0,127.796
316,5337414,24792119,7.2,0,
317,1246715,24782385,0.4,0,39.2536
318,3114299,24801489,2.4,0,107.104
319,7162173,24816715,1.5,0,
320,5339653,17415802,44.4,0,
321,2082921,24839629,9.8,0,
322,2508870,24825726,0.7,0,
323,2821933,24782678,41.0,0,
324,754098,24804371,40.1,0,
325,4010093,24781606,52.0,0,
326,3117689,49733403,0.7,0,
327,9591510,24817327,23.7,0,
328,6859182,49648279,11.9,0,
329,1960233,26660410,0.2,0,
330,9563818,49827224,47.6,0,
331,1485657,49665876,41.1,0,
332,902793,24807531,39.8,0,
333,2409896,24825431,6.4,0,106.797
334,135580184,49714643,0.8,0,
335,7696510,49670470,42.8,0,
336,3491267,24811798,31.7,0,
337,3812877,49666430,42.3,0,
338,52994988,26665950,20.3,0,80.1935
339,874555,24808387,30.2,0,
340,2918793,47197705,33.4,0,
341,135439714,24823121,22.5,0,
342,2806285,26728477,2.8,0,117.463
343,16189082,24786304,2.1,0,104.003
344,5909,855931,36.7,0,
345,531848,49672867,1.7,0,
346,9583789,26728922,0.3,0,
347,2381260,24828131,46.4,0,
348,17737872,56422517,45.1,0,150.883
349,2802350,26730498,24.3,0,
350,4562392,26664195,43.2,0,
351,2859396,47201615,35.6,0,
352,903798,49649083,42.4,0,52.7373
353,5411796,49827053,39.9,0,
354,907403,49820667,22.9,0,
355,972780,24794099,2.8,0,
356,2971078,49827494,46.9,0,
357,2727113,26730775,11.5,0,
358,726922,26666559,43.7,0,
359,2555326,24828004,47.5,0,
360,2084812,24837626,6.0,0,67.5181
361,69314,26730254,21.0,0,
362,24819038,49825835,30.6,0,
363,2845860,47198239,2.1,0,
364,11957593,57260551,5.6,0,57.1538
365,673899,49828432,38.8,0,25.5098
366,629359,49669729,45.8,0,
367,135472772,24813990,39.2,0,
368,780983,49644327,42.5,0,
369,696261,49719005,35.1,0,
370,604596,26666590,24.2,0,
371,972392,24797423,23.9,0,
372,9600675,49679715,6.5,0,93.3788
373,949980,49667549,38.0,0,
374,135433201,24791340,37.8,0,61.6656
375,24761955,49678591,51.1,0,
376,6465631,24797471,10.8,0,
377,5144577,49669282,42.4,0,
378,409243,49666456,45.5,0,
379,877786,49728462,44.4,0,77.3002
380,3825310,49648310,0.2,0,
381,2962019,49644953,0.7,0,
382,764882,24816269,0.9,0,
383,16192799,24806784,44.1,0,
384,903073,50085762,37.4,0,
385,2839622,24809072,17.1,0,
386,6459037,47200128,30.6,0,
387,329859,24811001,15.5,0,110.763
388,2810229,26729710,8.1,0,
389,6871995,49821204,0.4,0,
390,5866679,24822009,17.1,0,76.6315
391,7571578,49822899,4.0,0,135.067
392,914878,26661358,7.3,0,
393,4438424,24779668,1.8,0,
394,2738188,26726433,4.4,0,
395,713162,49819297,3.5,0,
396,8934559,49676364,13.8,0,
397,3638362,24814257,17.8,0,
398,4472,855800,33.6,0,
399,4356404,47198533,26.1,0,
400,1080946,49726585,0.3,0,
401,405209,24786664,0.2,0,
402,894378,49665530,1.3,0,
403,6862523,26671505,33.5,0,
404,1448780,24809334,2.7,0,
405,54682159,24821841,49.1,0,
406,18530424,49669103,47.1,0,
407,835182,47194638,0.7,0,
408,2110670,24830087,0.5,0,
409,2822036,26730980,47.9,0,
410,2431156,24827440,50.2,0,
411,4961858,49680174,38.7,0,
412,135451700,49680652,9.8,0,
413,2823226,26729448,32.4,0,
414,2942730,49733129,10.8,0,
415,5754188,49649452,37.4,0,
416,9563199,49733507,0.6,0,
417,929554,49667972,0.2,0,
418,2991309,49730313,47.0,0,
419,2106719,24825131,2.2,0,
420,614998,26666764,38.0,0,
421,6459631,49727975,48.8,0,
422,16187911,24782602,48.8,0,
423,6462239,47204688,43.5,0,
424,779151,24781122,26.8,0,
425,764201,49642177,21.3,0,
426,6880949,26725806,40.7,0,102.593
427,22333119,49670767,3.3,0,
428,2974639,24794817,41.5,0,
429,746592,49640688,35.4,0,144.014
430,135454506,24839184,2.9,0,129.68
431,916792,49680343,11.6,0,
432,1075675,49727400,21.4,0,
433,1966110,24808783,6.9,0,
434,2803232,26727717,34.2,0,
435,4796568,49673622,44.9,0,
436,4061457,49676963,37.8,0,
437,917546,26667274,35.4,0,
438,862152,49725005,0.8,0,
439,8073623,49648133,58.4,0,
440,3708282,26665509,41.2,0,
441,2310846,26657573,2.2,0,
442,2355914,24826487,34.5,0,
443,3157030,24804638,14.4,0,
444,2529626,24837637,25.6,0,47.7574
445,1096891,49645111,1.7,0,
446,9590509,24817129,2.3,0,
447,6499773,49727818,39.1,0,
448,866361,24803951,0.3,0,26.2643
449,2199791,47196486,35.4,0,
450,3969360,24831335,0.8,0,64.2199
451,914832,26658681,26.0,0,
452,3643290,24784954,23.0,0,
453,80146,57261401,33.5,0,
454,2947674,47196180,46.3,0,
455,1561908,26666933,0.4,0,58.1398
456,16604990,49817780,4.7,0,
457,3817326,24825728,20.6,0,
458,2729500,49672079,31.1,0,
459,135630185,26670907,10.1,0,
460,607376,49668283,2.6,0,110.183
461,2802287,26730356,26.0,0,
462,1093466,49725965,46.6,0,
463,4624846,24815149,0.2,0,202.4
464,612346,26658653,0.2,0,
465,53560,49649216,35.0,0,
466,6874559,49827050,0.4,0,122.542
467,3173538,47202762,5.7,0,
468,6102878,24832926,33.9,0,
469,4261503,24821127,11.7,0,118.678
470,4312000,49667836,40.5,0,
471,11922845,49673015,40.7,0,
472,3499638,24839564,41.3,0,25.1064
473,9504566,57259756,47.6,0,
474,4011704,24834894,40.4,0,
475,2726849,26730826,43.1,0,
476,2944282,47197736,0.7,0,
477,1261435,49827399,2.5,0,184.595
478,4205196,24818043,29.3,0,46.6415
479,4797191,49671768,10.6,0,63.3472
480,947248,49647668,1.7,0,
481,2153530,24816780,4.8,0,
482,2815194,26726872,45.5,0,
483,5178828,24829335,31.4,0,40.5369
484,2238961,24796797,31.7,0,68.1618
485,2974800,24795301,0.6,0,
486,18190094,49827368,43.9,0,109.318
487,970961,24793049,0.2,0,
488,2823639,49672305,0.9,0,
489,769376,49669201,0.3,0,
490,2475352,49673274,45.1,0,
491,2812130,26728685,43.7,0,
492,758119,24808042,2.9,0,
493,9637734,49823873,21.7,0,
494,16682394,26664050,55.0,0,
495,24817658,49818735,46.9,0,166.458
496,3099239,49666823,42.6,0,
497,2162129,49644629,50.3,0,
498,9591366,49726231,46.8,0,93.0039
499,6904777,24826407,12.8,0,97.8663
500,16551066,56319329,46.4,0,
501,2744841,26729726,0.1,0,
502,759090,57257106,46.4,0,179.194
503,9688456,49672874,36.0,0,
504,8902979,49734178,32.7,0,
505,8630918,57264926,42.2,0,
506,683121,49644750,36.8,0,90.3833
507,2846318,47197919,48.7,0,
508,2805439,50085643,36.3,0,
509,3304555,26725948,50.9,0,75.1172
510,1510949,24781799,5.8,0,
511,1505771,24783340,48.7,0,
512,3143569,47204459,6.0,0,
513,1248546,49819420,45.2,0,
514,7339742,49647778,1.8,0,
515,2815544,26730325,1.1,0,
516,2744376,26729892,16.8,0,
517,1540406,49827415,0.3,0,
518,18567291,49678048,15.8,0,
519,16305727,57259228,41.7,0,
520,3801296,49647573,35.5,0,
521,135406355,26731228,18.4,0,
522,9291631,57256690,7.0,0,
523,24980730,56319409,28.7,0,
524,1072764,49679303,46.0,0,
525,9668080,26666586,2.0,0,
526,3394424,49669867,37.3,0,
