,CID,SID,Solubility_at_pH_7_4,target,Efficacy
527,3500446,24818682,40.0,0,
528,1842917,24794126,1.1,0,
529,5346280,24790685,6.8,0,83.5517
530,24687249,49827379,18.4,0,54.7741
531,2880249,24805001,33.7,0,
532,2992209,47203275,37.6,0,
533,7531004,57260633,4.6,0,
534,795859,47198673,0.7,0,36.0718
535,2813441,50085647,26.8,0,
536,2915924,49644427,53.0,0,141.728
537,711024,49641772,0.5,0,
538,16347830,49817646,37.7,0,
539,7197234,51090111,31.6,0,102.27
540,781025,24804762,41.6,0,
541,9581056,26730415,1.2,0,
542,685173,47204693,42.9,0,
543,2813196,49672258,33.3,0,
544,713136,24782821,28.5,0,
545,771524,24809662,24.3,0,
546,818168,24782742,47.3,0,
547,2320430,24826975,48.5,0,
548,20958612,49719783,14.2,0,
549,2987592,47201898,1.4,0,
550,674526,49644558,0.3,0,
551,3615552,26661325,53.1,0,
552,2843626,49643242,30.2,0,
553,9582125,26730507,28.7,0,
554,2804873,49671425,26.3,0,
555,135856001,26725867,1.1,0,
556,872494,24834975,34.3,0,
557,9391214,57256664,49.6,0,
558,728989,24810969,41.4,0,55.1903
559,4883454,24827694,29.9,0,
560,1080270,49729822,0.6,0,
561,2111186,24830027,7.5,0,
562,4968891,24835406,46.8,0,
563,788773,26662085,5.6,0,
564,5340170,26666450,0.2,0,
565,9564720,49825716,1.1,0,
566,1980396,26669358,35.8,0,
567,6467183,49827826,1.0,0,
568,135439845,24826093,38.7,0,
569,5357469,26665361,0.5,0,253.308
570,886206,47200521,41.2,0,
571,135398502,24779961,28.7,0,
572,4359574,49667428,0.7,0,
573,5144092,26663584,46.5,0,
574,2972860,24796012,0.8,0,78.3538
575,3809123,26659887,1.3,0,
576,24158949,49670445,42.9,0,74.9483
577,4458829,24814235,5.1,0,
578,17584589,49667165,4.3,0,36.1319
579,3544178,49649051,49.8,0,
580,747246,47202532,0.6,0,
581,2881241,24808821,39.1,0,
582,54683825,24806563,0.3,0,
583,2451572,24827575,9.6,0,
584,23724043,47200044,45.2,0,
585,6498632,49728853,31.7,0,
586,16190426,24798755,18.4,0,
587,3742518,24783164,33.6,0,
588,3808295,26658881,24.7,0,
589,5930030,24820131,0.9,0,
590,3263209,24784848,9.5,0,
591,2747241,49672076,50.3,0,
592,1487334,49666046,43.4,0,
593,7863195,57266631,7.8,0,
594,2451975,49680876,49.0,0,
595,2808284,26730306,28.5,0,50.3343
596,4877671,49672679,27.3,0,
597,135735432,49824275,24.7,0,
598,1263263,24795880,49.3,0,
599,16243431,49673270,49.3,0,80.1812
600,45592,49640830,37.2,0,
601,609651,49667939,25.5,0,
602,135576308,49678013,0.8,0,
603,3157054,49733293,46.7,0,
604,3155152,24809328,32.8,0,94.5872
605,2806931,49671401,34.0,0,
606,728064,24781814,33.1,0,
607,6498588,49729384,41.4,0,
608,2908518,26666177,35.9,0,
609,2844277,47201751,0.7,0,
610,2488731,24828839,35.4,0,
611,821559,49641766,32.6,0,
612,3218267,49726967,1.6,0,
613,3907587,47201920,34.8,0,
614,135408766,26671324,23.6,0,
615,4991943,24828641,46.1,0,
616,941014,26665919,6.9,0,
617,9631452,24819502,7.7,0,
618,5048736,24814638,35.0,0,60.4923
619,544906,49649050,4.7,0,
620,3141862,24807741,40.5,0,
621,2813422,26731178,50.6,0,
622,2993527,49732638,49.4,0,
623,2876085,24808297,2.3,0,64.8344
624,46507622,49678851,51.1,0,
625,24243657,49819713,16.0,0,
626,135549744,26661704,9.3,0,46.6741
627,2596136,57255752,34.0,0,
628,16303051,56324593,43.4,0,
629,788302,49646743,44.0,0,
630,3354871,24788480,22.9,0,
631,831789,24802898,50.0,0,
632,1915099,26660484,35.4,0,
633,2577826,57264562,13.7,0,
634,54691563,56422566,53.8,0,
635,910289,47202583,0.8,0,
636,1084755,49734103,36.5,0,
637,1251410,24795205,0.3,0,
638,16681766,26658575,50.3,0,
639,6619922,24822966,3.8,0,
640,2957522,47196484,45.9,0,
641,3121408,49641919,31.5,0,
642,7357333,49664950,17.6,0,44.3496
643,5709638,24818863,32.3,0,
644,9596947,24812446,44.3,0,46.1718
645,6493642,49678987,32.9,0,
646,774032,51090564,41.7,0,51.3393
647,16187733,24782051,50.8,0,59.2385
648,7531559,49678021,4.7,0,
649,763564,24831707,2.8,0,
650,4302595,49673371,28.5,0,
651,2989437,49726755,47.0,0,
652,54689671,47201048,0.4,0,161.789
653,135458842,47198694,29.5,0,
654,2952174,47196126,37.0,0,
655,5726173,47196338,3.5,0,
656,4248610,49736381,46.3,0,
657,2116981,49674289,40.8,0,
658,5151446,24783148,40.9,0,
659,3376460,49646162,25.8,0,
660,3145402,47204750,29.5,0,32.9031
661,2399072,49671863,28.7,0,38.4169
662,21157311,14744533,12.6,0,
663,2532653,24830526,41.0,0,
664,2460931,24839856,4.2,0,
665,7840249,57258951,43.7,0,109.488
666,9620345,26660508,20.1,0,
667,135502743,49671252,1.7,0,
668,20958619,49719871,17.0,0,
669,16003183,49679173,47.3,0,
670,17580433,49648324,49.7,0,
671,54676949,47201842,0.4,0,107.708
672,2308938,24827397,39.6,0,
673,3450311,49644758,30.1,0,
674,17579472,49648724,50.2,0,
675,3571853,24827394,25.2,0,
676,767598,49642937,0.3,0,27.353
677,2958023,49823783,1.1,0,
678,4845772,49680916,47.7,0,
679,6468424,47198622,43.3,0,
680,5431074,49825786,0.4,0,
681,5736340,24788211,39.9,0,
682,2858194,47199576,45.6,0,
683,2927710,47202250,40.2,0,56.6498
684,4271758,26658935,0.8,0,
685,1418060,26666577,53.2,0,
686,970638,24793287,4.7,0,
687,16745844,26725866,29.7,0,
688,841557,49828205,50.5,0,
689,9642140,49675671,43.6,0,
690,4874234,49649175,22.5,0,
691,945536,26661775,51.5,0,
692,6487442,49642167,42.5,0,
693,2306315,24828006,2.6,0,99.3459
694,6494712,49733112,34.4,0,
695,20958580,49719794,44.6,0,
696,5829079,24816208,0.9,0,
697,135548604,49675616,27.1,0,
698,16190723,24799052,21.2,0,84.6097
699,6494320,49679009,13.4,0,58.8036
700,3225254,24822440,33.0,0,
701,1653162,49737679,10.9,0,
702,9684271,24826295,12.0,0,
703,5000688,24813966,0.6,0,79.2083
704,670484,24794886,34.2,0,
705,3690443,24791956,51.2,0,
706,3972549,49673796,47.0,0,
707,2858738,26726330,48.7,0,
708,3136598,24803646,50.8,0,
709,1112418,24822564,3.9,0,
710,22550619,49679520,1.0,0,40.3966
711,135635735,49667473,47.1,0,
712,135439866,24827024,16.9,0,84.0229
713,2369567,47201255,1.2,0,
714,2079728,24829224,40.1,0,
715,16467159,47200557,46.9,0,
716,3541811,49647814,0.4,0,
717,1391495,26660196,26.7,0,
718,4234707,49824366,18.5,0,
719,9507785,57259237,53.0,0,
720,2813584,26731363,7.3,0,
721,9641586,24825954,0.6,0,80.3381
722,915989,26662975,3.9,0,
723,5344445,47202452,12.6,0,
724,3133066,49726928,41.9,0,
725,3227346,24806201,46.5,0,
726,1481669,24817584,51.4,0,53.8362
727,2429936,24829609,41.6,0,
728,667583,24812634,0.8,0,
729,4376399,24809025,0.2,0,
730,904010,49821281,0.9,0,
731,622831,49679612,3.1,0,
732,779369,49644421,29.8,0,
733,22552125,49731208,44.7,0,
734,975473,49641731,13.1,0,
735,11900573,26659040,6.1,0,108.941
736,2961134,47197327,3.1,0,80.1158
737,764017,49647736,0.9,0,
738,755656,49671956,50.1,0,106.582
739,2451919,24839830,0.3,0,
740,3163454,49728123,43.2,0,
741,1435159,24804736,0.2,0,
742,991971,24798277,5.7,0,
743,5044725,24810493,2.4,0,
744,3213164,24807431,44.9,0,
745,8108481,57259031,52.1,0,
746,2113246,24834338,21.9,0,
747,776902,24779178,32.9,0,
748,4071548,24784657,0.7,0,109.007
749,16190206,24798535,29.9,0,
750,2809777,49672186,1.8,0,
751,24819109,49825979,0.4,0,
752,833609,49825638,6.9,0,
753,24747024,49643812,45.1,0,
754,16194663,24815585,55.3,0,
755,2492559,49680088,12.6,0,
756,1477309,24819941,28.5,0,
757,3021339,24809436,37.6,0,
758,16188889,24785730,44.8,0,
759,3459174,49670917,42.8,0,
760,564006,857136,3.0,0,84.4015
761,6492575,49726789,0.3,0,
762,2814129,26731802,55.9,0,
763,5456562,49825530,0.7,0,
764,6465287,47199085,41.3,0,
765,2512506,57262489,4.8,0,
766,2740828,49671219,0.5,0,
767,4449807,24826378,2.8,0,
768,2235515,24795437,29.9,0,
769,5767392,24802517,47.9,0,58.8775
770,919162,49646603,0.7,0,
771,3727121,49667603,7.8,0,
772,2489695,24828254,0.4,0,
773,1725836,47200809,3.8,0,
774,135483445,49664956,26.3,0,
775,1507407,24814460,4.7,0,
776,2307157,49673742,28.1,0,
777,135680959,49714974,5.4,0,
778,2236832,24793838,50.4,0,
779,2804358,49671441,33.2,0,
780,951116,47204564,18.1,0,
781,1472997,24818200,33.2,0,108.085
782,2673091,24839100,13.3,0,
783,8056805,49666977,18.3,0,
784,7207402,24815591,25.5,0,
785,1475141,49666505,8.5,0,80.3228
786,2442124,26670213,37.5,0,
787,9593792,24822422,27.1,0,
788,1094259,49641330,42.0,0,
789,16437667,49821940,49.0,0,
790,3542201,26666606,40.0,0,
791,3156347,24807729,42.7,0,
792,6887635,26660643,38.7,0,100.588
793,2096148,24829738,44.0,0,
794,4782030,49675836,43.6,0,
795,3377458,49677419,0.7,0,
796,3230513,24790171,50.0,0,
797,2882581,49646139,39.9,0,
798,970082,24798242,0.4,0,63.1217
