,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
Solubility_at_pH_7_4,75412.0,25.506628200031145,17.760002656327806,0.1,6.2,28.49186993130781,41.6,99.5,-0.09150803041741074,-1.4568853921705742
MW,75412.0,301.08514641973056,44.446500545950855,87.08,274.16438758691237,305.08062961233696,330.3502949787872,663.4,-0.16426714578885043,1.0849241625068302
TPSA,75412.0,76.81733311644852,28.53914417492711,3.2,57.08320133554282,75.11646818344545,94.34148934077562,321.0,0.3930385273241354,0.2353077668893424
XL,75412.0,22.66640668769729,1.0590812735278816,14.0,22.0,22.718342691317993,23.4,27.2,-0.3811803287103516,0.3587602760476791
HAC,75412.0,20.960682649976132,3.3033830186180486,6.0,19.0,21.0,23.0,44.0,-0.20320610223493435,0.5774983718139182
HBDC,75412.0,1.0918288866493395,0.7970776889097366,0.0,1.0,1.0,2.0,7.0,0.5743644449047121,0.5784439408644602
HBAC,75412.0,4.04145228876041,1.4691012035256863,0.0,3.0,4.0,5.0,18.0,0.4675745387421885,0.3910848107538074
RBC,75412.0,3.6528271362647855,1.6854912843328829,0.0,2.0,4.0,5.0,13.0,0.4937942063007045,0.39549025175089625
CBUC,75412.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
MMX6,75412.0,9.800222488593732,2.767143027821638,1.4584,7.789192507673983,9.624789094756359,11.582377486040192,23.145,0.3195960135038816,0.0035037739934917767
MMX,75412.0,10.405552635387783,2.6324331392925533,2.6052,8.5872,10.1397,12.1171,23.145,0.37598905613882116,0.036006776271440444
SX6,75412.0,20.025673922705227,0.27819515078154866,18.46476271107925,19.8522279020997,20.01217405972591,20.189291859362637,21.54655117509848,0.2219385826623661,1.1071695142775821
SX,75412.0,20.02482793364652,0.24665690779074978,18.96667675833489,19.871888887027264,20.011066541948075,20.17231545761548,21.192028423717204,0.1841037667642705,0.48828481989545525
